Sample Name,DB,DOHH2,FARAGE,GRANTA519,HAIR_M,HBL1,HC_1,JEKO1,JVM2,KARPAS1718,KARPAS422,MAVER1,MEC1,MINO,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,REC1,RIVA,SP49,SP53,SSK41,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,UPN1,VL51,WSU_DLCL2
ACTB,3.721510042,3.731282678,3.992162686,4.239916408,4.38415011,3.886199814,4.053658137,3.722103773,4.216737417,3.658912357,3.769507359,4.107336865,3.570964065,3.87590598,4.030252506,3.895932878,3.634525248,3.686656618,3.445659867,3.11457979,4.116670566,3.576722267,4.465154402,4.075823495,4.030239158,4.159190468,4.04135178,4.35929094,4.090376414,4.202903587,4.051815798,3.834865006,3.704160673,3.508003842,4.297291191,4.169085459
ATP5F1,2.786532322,2.458817934,2.634131418,2.412133333,2.768722667,2.740840441,2.790124837,2.707948884,2.628383666,2.429221572,2.833992172,2.655526278,2.622050267,2.554416016,2.676318618,2.614882024,2.532310765,2.58442191,2.295725076,2.21528165,2.709775315,2.583316515,2.738455829,2.602771297,2.784052243,2.880073715,2.632197315,2.635647285,2.812970578,2.926027779,2.557096411,2.528386639,2.814716489,2.476244243,2.813336481,2.761065266
DDX5,3.538237078,3.598961859,3.903486725,3.485055862,3.596004185,3.911813774,3.621738334,3.72744442,3.761440907,3.854496074,3.762757953,3.630068725,3.001619896,3.574092055,3.645922998,3.459759784,3.770837756,3.407736317,3.779177417,3.528708802,3.80879536,3.9134122,3.717252915,3.890654555,3.467073113,3.300720933,3.523485277,3.51967545,3.57846262,3.772883171,3.563117191,3.509300652,3.424695754,3.586542487,3.496736984,3.338680096
EEF1G,4.326239632,3.947335905,4.136647536,3.92991634,3.97343248,4.419594625,4.030902413,4.249551233,3.971158088,4.044867518,3.937100272,4.146217072,3.988310592,4.36192912,4.375392589,4.688532071,4.383924084,4.146241301,4.625642204,4.407142627,4.104534217,4.07919322,3.945396959,3.971404386,4.121548154,4.232078212,3.66130043,4.211751514,4.286960166,4.208079101,4.185910272,4.684632259,4.123567161,4.247956723,4.09338948,4.388793232
GAPDH,4.872713742,4.508410614,4.545849139,4.586514244,4.659086321,4.817841873,4.584744994,4.327611022,4.566567408,4.528846886,5.071620149,4.5856108,4.338780873,4.471862631,4.522010421,4.664444775,4.465513942,4.532333095,4.409241983,4.682951849,4.38964242,4.326311185,4.588887858,4.500903059,4.686259139,4.427302341,4.886472862,4.605232756,4.650869611,4.420595657,4.522835522,4.508996706,4.655534209,4.192677462,4.570513165,4.669479502
NCL,3.674831882,3.419828951,3.564448789,3.788764656,3.63328535,3.423654791,3.623479713,3.688020773,3.52665004,3.796564992,3.75986082,3.582821084,3.521030847,3.805542048,3.696178393,3.595198708,3.809722585,3.705339133,3.925050243,3.627593102,4.148365523,3.490898751,3.600861926,3.790208485,3.651906735,3.584520711,3.437768846,3.337537216,3.469777618,3.907500765,3.644454333,3.684997188,3.074004264,4.002832966,3.661095362,3.174663538
OAZ1,3.569149451,3.361829123,3.728237346,3.559841315,3.689264933,3.725252342,3.520772929,3.571528293,3.733240651,3.117074322,3.513334356,3.460466232,3.001472265,3.16715083,3.398041628,3.461762664,3.401672884,3.048958791,2.902205802,3.063935857,3.52499256,3.131652146,3.47322623,3.420451872,3.625470316,3.464112835,3.5880996,3.413264777,3.774025291,3.565398357,3.446292766,2.929746399,3.67608636,3.134976894,3.673719989,3.665842097
PPIA,3.137294575,2.777632162,2.805181305,3.084351625,2.564257046,2.33865585,2.81326005,3.28974031,2.687535278,3.250392992,2.517574134,2.62113347,3.036117934,3.117803091,2.994959043,2.935708412,3.04330235,2.978588068,3.147816069,2.711504246,2.711160365,3.28775567,2.86273126,2.983821867,2.888088564,2.912991716,2.605510572,2.662265773,3.064503726,2.939483373,2.76080803,2.694117836,2.882889307,3.154960676,2.412399643,3.186763494
RPL38,4.450731825,4.41391824,4.368073816,4.368886455,4.363298918,4.681270167,4.303255357,4.399264289,4.261388932,4.404608767,4.250636417,4.455079359,3.987868988,4.38570271,4.385197989,4.668236255,4.577507654,4.270102415,4.817346585,4.217432167,4.257691936,4.280455426,4.138702689,4.224025335,4.244660424,4.309391307,4.221132496,4.29418593,4.553615451,4.267152198,4.227284116,4.565341487,4.21069869,4.41121081,4.479361419,4.558568228
RPL6,3.877502045,3.7231216,3.676212785,3.791481059,3.454266084,3.911412093,3.776440663,3.505669272,3.598834964,3.64168277,3.904382698,3.789905156,3.469328385,3.980573203,4.019990354,3.98427206,3.890853664,3.620671414,3.874428831,3.452327269,3.718724162,3.738232485,3.594809944,3.660249078,3.602430812,3.737234926,3.424594684,3.507065988,4.031694886,3.995499211,3.550460808,3.666406857,3.762068432,3.56639965,3.752463581,3.896999522
RPS7,4.163202963,4.217428835,4.172724456,4.079706276,3.914537995,4.242877356,3.980118921,4.107790589,3.882825939,4.224820656,4.088556261,4.187822118,3.931093085,4.381187142,4.416997369,4.355464215,4.188672531,4.135579681,4.48225349,4.289230645,4.13568284,3.974743548,4.007581052,4.157305426,4.374462274,4.082345521,4.015733923,4.165799048,4.353510861,4.24893922,3.982795666,3.959737428,3.89957,4.415258495,4.069518649,4.230569995
SLC25A3,3.838695633,3.441705923,3.579150782,3.731741414,3.448020922,3.660089677,3.606585858,3.306465873,3.486277974,3.528949248,3.62309918,3.557309663,3.301541432,3.71020175,3.547713205,3.531411227,3.416177156,3.51344851,3.461890139,3.871003793,3.785906138,3.369858595,3.538906163,3.52423966,3.604235585,3.521187248,3.474937075,3.405053082,3.577952368,3.688524157,3.565525811,3.632325507,3.483453538,3.559726767,3.781767896,3.382688998
SOD1,4.05781613,3.148048157,3.823594041,3.561254927,3.490769889,3.684862515,3.412697762,3.846302904,3.478711111,3.608672369,3.777155228,3.767397166,3.26736008,3.699241578,3.732712076,3.568562734,3.40809525,3.615737343,3.785803313,3.497678785,3.776148168,3.528049285,3.424096353,3.391016381,3.7044967,3.679091297,3.741004171,3.553040249,3.727239087,3.738449097,3.511399386,3.857376017,3.502639618,3.72549702,3.495294815,3.840282566
TBP,1.796754612,1.967733495,1.68453919,1.788689901,1.385390733,1.775513925,2.0335682,1.595627788,1.786371212,1.745613099,1.935510771,1.770704128,1.846280169,1.832157247,1.866664773,1.918814155,2.127071517,2.09011699,1.581432952,1.5728692,1.732663306,1.990758332,1.877077595,1.769165922,1.737025311,2.178089785,1.694198465,1.623412829,1.793800484,1.899387698,1.865679545,1.751052061,1.627067236,1.912167922,1.573550553,1.758352612
YWHAZ,3.758899249,3.580822067,3.836779992,3.707038603,3.80011774,3.822088715,3.689232826,3.398331719,3.67453579,3.607961908,3.557770858,3.720269228,3.56856015,3.54083523,3.933345469,3.513982055,3.457894993,3.689853658,3.526395338,3.642274375,3.69920239,3.557337673,3.637568781,3.701281,3.462743947,3.667306683,3.929544935,3.561882955,3.65557275,3.738684874,3.481479347,3.636997499,3.588792479,3.410192285,3.437434922,3.798298209
A2M,1.017289307,1.54280499,1.965419373,0.991789215,2.054993663,1.651165663,1.992314393,1.157677758,1.158174406,0.863465723,1.660696158,0.852475373,2.258034846,1.032875621,1.292054832,1.21941858,1.099859905,2.1684778,0.580348571,1.406385368,1.441582341,1.104189278,1.479658011,1.531427804,1.632146368,2.168703617,1.021871569,1.895653737,1.202842965,0.757714004,1.824767954,1.630058319,1.987016168,1.651280393,0.886479772,1.901672699
ABCA2,1.040354611,0.899352313,0.560349884,0.922708296,1.252963975,1.024837097,1.043636595,1.57171563,0.238442747,0.424133029,0.873362864,0.987565027,1.920774897,1.903709536,1.315307292,1.202044484,2.152099523,1.471084184,0.611757035,1.94636194,1.358448791,1.739617171,1.193957648,1.250414922,1.946540326,0.913431112,0.582538876,1.451730688,1.495439793,0.603617039,1.30247649,2.271194753,1.688141485,1.40941453,0.733251396,0.897742405
ABCA3,1.089839974,1.953844411,0.731420341,0.159280302,1.477823444,1.160864806,1.015607872,1.997098665,1.62315449,0.454096252,0.766598097,0.746671647,2.102899143,1.855669356,0.940414843,0.754886453,1.662644533,1.356510963,1.369223686,1.690314946,1.358448791,0.64479679,1.374212836,0.997483633,0.712665965,1.306463786,1.05966013,1.117502486,1.088899613,0.939409141,1.237156883,1.951396692,1.412173893,0.940411165,2.318060846,0.949771405
ABCA4,0.122024658,1.260085202,1.080223119,-0.062568448,0.845478649,1.40338118,1.28147345,0.73473548,0.525684458,0.018367682,0.624720938,0.381183662,1.910428708,0.797198672,0.698595012,0.87357624,0.746860276,1.372597783,0.154379838,1.218394885,1.07712213,0.422948041,0.474425484,0.761394444,0.473783876,1.368874822,0.16953512,0.957350428,0.115228551,0.376373257,0.95175871,0.949186537,1.16454549,0.758245758,0.585449776,0.889773476
ABCA5,1.474207176,1.829040069,2.738929943,1.60123714,1.746149162,2.056129456,1.854456962,1.322488007,2.321900574,1.767260161,1.841006828,1.19006953,2.58822307,1.789466222,1.977796571,1.765307569,1.079811985,2.235108625,2.084479477,1.925051718,1.513900143,1.672553995,1.722324392,1.860230378,2.05886843,2.077984458,1.701764763,1.956763147,1.458810898,1.780244133,2.29755804,1.792381165,2.432589393,1.924020749,2.34378872,1.720860801
ABCA9,1.855565828,1.702665647,2.200042411,1.34112389,1.748568636,1.770163206,1.890669135,1.522169714,1.141532734,1.271441223,1.737143117,1.18190074,2.514758932,1.931300746,1.184149435,1.453856457,1.89613159,2.219665416,1.098862511,1.744364708,2.146264851,2.217900573,2.191692415,1.726230027,1.492206959,2.161045833,1.053029551,2.019576579,1.476956387,0.663614968,1.999878642,1.63647884,2.034552563,1.690890989,1.184565387,1.667924726
ABCB11,-0.546982123,-0.078371292,0.721201176,NaN,0.368357394,1.189121566,NaN,-0.094568292,-0.120579195,-0.545903748,-0.319761734,NaN,1.54366419,-0.558188986,NaN,0.165060918,-0.72296174,0.109356348,NaN,NaN,0.789880418,0.288249467,-0.198990415,NaN,-0.702307383,0.140132364,NaN,0.503092057,-0.814190374,0.31838131,-1.043876485,0.300383142,0.123152805,-1.09301259,NaN,0.111622225
ABCB4,2.195219131,2.446154645,1.970690713,2.151686527,2.18702308,1.890138523,2.157231816,2.169363516,1.985660283,2.163931333,1.891892666,2.09918683,2.956063268,1.832157247,2.021219622,1.967454517,2.216307846,2.328372969,2.404799841,1.994819317,2.284947533,1.824922665,2.092632112,2.300086844,1.994485702,2.578516471,1.106403534,2.264499401,1.781305847,1.05591471,2.2863343,2.067876324,1.936673142,2.181376205,1.066466075,1.966939431
ABCB5,1.256929989,1.651602994,1.810601587,0.707464913,1.760467859,1.323363948,1.945594132,0.966129548,1.8538667,0.828233346,1.626690531,0.802787589,2.500371288,1.686500374,1.192421961,1.626626136,0.949136117,2.280839022,0.718651269,1.555378468,1.516454823,1.28228652,1.678545467,1.645213547,1.275416223,2.11785597,-0.019521116,1.827691053,1.057965898,0.677403253,1.867281124,1.499539705,1.788477902,1.788942381,0.535761992,2.041041151
ABCB6,2.045564719,2.138058539,1.910865242,1.77767709,2.013779663,2.179788973,1.913234963,2.067547849,1.983224526,1.882770878,2.025415882,1.747419786,2.40305148,2.00251451,1.928542728,2.001455371,1.885564293,1.984417612,2.006452999,1.634559714,1.47083882,1.853775308,1.704099572,1.807694464,2.284688157,2.089522371,2.058011952,2.01906774,1.859291323,1.588061002,2.216194903,1.78854913,2.227888155,1.903499082,1.836791988,2.101368591
ABCC1,2.741788599,2.778478387,1.989489343,2.481499597,2.098062015,2.139930899,2.092773826,2.232790642,2.06330047,2.468756773,2.461850048,2.350040037,2.53897828,2.806487058,2.459519861,2.578081124,2.684768988,2.572751578,2.790265524,2.287110698,2.397335442,2.468531779,1.892425287,2.409889982,2.021968487,2.279381582,2.451370262,2.121542464,2.58444395,2.586055791,2.608369856,1.997771015,2.04601975,2.651123862,2.803786532,2.211992771
ABCC10,2.408063892,2.146679404,2.225056684,2.109645156,1.784442892,2.356694717,1.933521635,2.638428236,2.042070543,2.389099404,2.353627844,2.121546352,2.140127182,2.363670826,2.346093043,2.235714369,2.346151111,2.002840694,2.238359967,2.189261789,2.384238434,2.199649225,2.142019924,2.188492682,2.457109406,2.212749841,2.278139935,2.295753076,2.762266158,2.724434613,2.374590536,2.22159653,2.062218012,2.193892763,2.125136077,2.185950969
ABCC11,1.086486332,1.832253113,1.783693624,1.024581728,1.319370933,1.467334887,1.879591256,0.718345064,1.158174406,0.725163024,1.665215392,0.858304917,2.53109064,1.418008099,0.99534621,1.591933489,0.910506715,2.284239555,0.455409834,1.408058952,1.369306718,1.203505361,1.36753125,1.490649252,0.781992457,2.216165658,0.751999556,1.560875158,0.632967657,0.603617039,1.705086377,1.321572441,1.855546564,1.856377416,0.47964605,1.714886918
ABCC12,0.808405535,1.879235995,1.507885009,0.927671715,1.260451997,1.498617609,2.010267123,0.479462975,1.113504011,0.123103033,1.451090278,1.008549519,2.568169881,1.424082247,0.731387526,1.580961256,0.68357844,2.092004409,0.591072436,1.624529373,0.996537669,0.70925478,1.325127402,1.328943584,0.853995118,2.213728533,-0.282762551,1.430541389,0.115228551,0.663614968,1.541584245,0.601413138,1.846683104,1.544477139,0.630031909,1.520991696
ABCC2,0.356107864,0.83544256,1.198322431,1.211075748,0.338394171,0.547715843,-0.637604642,1.957548258,0.496720763,0.885460016,-0.416671747,1.72123098,1.544722155,1.215109762,0.55922656,0.50085302,1.533515466,0.71141634,0.999477878,1.186210202,1.040605296,1.635135645,1.079763185,0.872544896,1.045880644,0.411199137,-0.361943797,1.625937804,0.640654486,1.329105176,1.15752064,-0.564918284,0.968250845,1.491318634,0.886479772,0.436133317
ABCC3,0.944379571,1.367232911,0.949210234,0.746617037,1.51448543,1.603831785,1.525258351,0.701311725,1.535382027,0.424133029,1.255426111,0.606492944,2.115003688,1.021594611,0.823533749,1.186250217,0.920490936,1.757716359,0.522356624,1.512913597,1.347312424,0.870106072,1.188907655,1.226281243,1.23721187,1.650677375,0.457600139,1.74036505,0.723628721,0.570193283,1.385875795,0.940231694,1.645241205,1.188020777,1.021569426,1.602983919
ABCC4,2.827154971,1.733873405,2.259619298,2.314413824,2.618777396,2.48533748,2.590924035,1.473633432,2.661483717,0.783154971,2.613320428,2.119647102,2.542603641,2.27644362,2.675061874,2.35787608,2.374469113,1.93108817,2.205918229,2.782031331,2.15308094,0.66183013,1.74478666,1.941488446,3.105531951,2.683620963,1.517725409,2.130300303,1.953707242,2.527992058,2.206787435,2.549247726,2.149945981,2.113813286,2.706556911,1.669263077
ABCC5,1.992093976,1.919451789,2.114567433,1.729044238,1.736334179,1.980740391,2.126945077,1.709911897,1.58209747,1.782475855,2.523471044,1.61060951,2.610943761,1.921338338,2.381429993,2.084139011,2.415656693,2.390768516,1.931564916,1.8230323,1.946543126,1.789682209,1.849118298,1.795041545,1.992297816,2.395565689,1.88798796,1.538367817,2.432923267,2.181491646,2.112066533,1.968260418,2.344922584,1.876869053,2.114505362,1.692673836
ABCC6,0.206345544,1.169601974,0.440374566,-0.317840953,1.131785388,1.469133211,0.291814283,0.324561015,0.210414024,-0.545903748,0.561051858,-0.016756346,1.975420094,0.617902273,-0.406915172,0.665663269,-0.023991736,1.079393125,-0.118621434,1.243505606,0.834958793,0.121918045,1.020369534,0.603031952,0.488024315,1.678370865,-0.583792546,0.920627621,-0.513160379,0.302587043,0.964723687,0.463110439,0.881100669,0.605957414,-0.079661961,1.202702695
ABCD1,1.673997168,1.200382309,1.330947996,1.38802276,1.28568782,1.587744965,1.291814283,1.999290969,1.536749885,1.856644203,1.280121338,2.037473563,1.646047691,2.229507582,0.731387526,1.097309134,0.988845489,1.302016709,1.734924688,1.551794174,1.785104155,1.655096747,2.055246822,1.911382901,1.611559838,0.809139145,2.259855427,1.963758646,1.733584331,0.779708298,2.149248114,2.136073713,1.031150126,2.165145603,1.316101128,1.485759319
ABCD3,2.16650842,1.968123872,2.097082427,2.111588312,1.956442267,1.967842383,2.198719473,2.100985446,2.140853618,2.318409522,2.237504795,1.858304917,1.89749132,2.008444886,2.126475536,2.1510858,2.318628306,2.123946884,2.014118405,1.861730042,2.155134345,2.335701344,1.713307573,2.029217777,2.173043314,1.719153372,2.206727181,2.113014669,2.120308077,2.329256471,2.413399701,1.760734186,2.137138451,2.477997082,2.108211129,1.753976812
ABCD4,2.007305086,2.024405323,1.676591096,1.551390767,1.85596706,1.634321107,1.838066546,2.084408655,1.725404257,1.890258899,2.127706397,2.111642922,1.90122721,2.255836521,1.866664773,1.541232182,2.241062052,1.851688631,2.058915066,2.281111139,2.164399646,2.092884457,2.32974269,2.006495653,2.05660451,1.96011476,1.955283553,2.070389942,1.894230526,1.99474826,1.982248032,2.164246506,1.993982176,2.076955584,1.888236866,1.937697028
ABCF1,2.505455295,2.473810047,2.520377562,2.677530953,2.359287931,2.254109865,2.663642446,2.57171563,2.590383924,2.734219148,2.412149208,2.690558287,2.399079919,2.658504613,2.670089155,2.45620768,2.610888405,2.697628055,2.603395155,2.67032745,2.861704915,2.593503099,2.675242831,2.54125137,2.478391819,2.610542855,2.493817576,2.634167575,2.425484413,2.934256244,2.646408218,2.517867086,2.56363253,2.491770789,2.428699394,2.33950893
ABCG2,1.171796275,1.848999071,2.06503162,1.028512022,2.073650792,1.556609556,2.197451459,1.348694695,1.435723305,1.010398753,1.797509562,1.261997254,2.569968204,1.464376842,1.265182686,1.639762699,1.618472784,2.225521161,0.340016415,1.719812813,1.371090271,1.173713491,1.583277401,1.421257846,1.286697233,2.356913851,1.053029551,2.005098756,1.277476583,0.779708298,1.96216147,1.557843533,2.124729193,1.761293452,0.951746503,1.941997009
ABCG8,0.746748634,1.633435937,1.737438375,0.626641719,1.296069856,1.653519569,1.963368253,0.841190811,1.117108135,0.658216235,1.22430631,0.363454895,2.424198942,1.176877364,0.79720481,1.33467005,0.318430945,2.096128083,-0.322741416,1.515529837,1.216696555,0.716678798,1.474425484,1.242518441,0.871723885,2.182051148,0.724416034,1.264209968,0.088899613,0.524435793,1.588580807,0.917001853,1.67615267,1.176500354,0.494369307,1.683718993
ABHD2,2.12419072,1.663567786,1.865107752,1.953535919,2.009831504,2.129072972,1.970921391,1.937344872,2.330768559,1.752221257,2.283165979,2.004432953,2.124004932,1.694664045,1.95904055,1.852788006,2.114310962,1.564201208,1.408040859,1.626554059,1.802585859,2.182615885,2.096105223,1.845076192,2.367730484,2.134889309,2.344432559,1.944847599,1.912129238,1.739867717,1.96896074,1.60338273,2.300820452,1.659803841,1.919794831,2.095398813
ACACA,2.421189392,2.097719967,2.060794567,1.93257905,1.781097861,2.17132155,2.066116518,1.749753528,1.862337829,2.243676964,2.164822795,1.989281609,2.583803221,2.225714593,2.461729266,2.142021934,2.144211011,2.236731146,2.513835859,1.947328113,2.323151886,2.012525336,1.829813142,2.022326674,2.033291517,2.417359445,2.410817851,2.05379068,1.90967559,2.214828787,2.25996729,2.104398596,2.066737246,2.120770709,1.851668756,2.068537325
ACACB,0.761226457,1.343232635,1.485341712,0.828287083,0.760467859,1.478014798,1.547086789,1.773929201,0.313076366,1.706139787,1.666113623,1.221289757,1.954955321,1.054594871,1.285491063,1.43483322,1.051555225,1.788329724,1.835621076,1.26492721,1.840429335,1.86542781,1.278130839,1.094393646,2.50262614,1.772252078,1.773506903,1.037508715,1.487924003,1.512697389,1.152023168,1.760049719,2.145468679,1.898213485,0.608312659,2.163845758
ACADS,2.184875139,2.062450888,2.221476867,1.329542017,2.077627355,1.760178985,1.901471457,2.060387951,2.08778537,1.617456434,1.671464342,2.195431258,1.860299259,1.916027278,2.112912821,1.862580856,1.415340958,1.729145107,1.755715402,1.387537285,1.586844817,2.198437127,1.797271015,1.732721844,1.667835464,2.017119549,2.077388897,2.229254799,1.866145139,1.414048706,2.0495452,2.127340956,1.554516569,1.589132486,1.98945089,2.167679673
ACKR1,-0.024103378,1.397299896,0.770049744,-0.062568448,1.282171246,1.366351212,1.129551224,0.479462975,0.113504011,0.468336691,0.729456289,0.474605347,2.03910699,0.883767852,0.48238653,0.341152177,0.373948273,1.428115111,-0.720681425,0.733448293,0.965971678,0.43718848,0.924394493,0.904061948,0.318881916,1.632427022,0.143206182,1.328667957,-0.27012233,0.439425003,1.143644236,0.258990457,1.243128122,0.880115263,0.52239803,1.194806214
ACKR2,1.238347712,1.913740196,1.991158639,1.097132395,1.75217276,1.838900904,2.262489259,0.984612954,1.555460848,0.454096252,1.594052118,0.460364908,2.618587613,1.411847791,1.181356535,1.711192123,0.949136117,2.269724823,1.098862511,1.691186149,1.570287749,0.909614613,1.708727976,1.614179313,1.639127142,2.430908726,2.321103242,1.906344602,1.45415354,0.740454999,1.906974974,1.600424981,2.102535608,1.424183308,0.780676046,2.071193568
ACKR3,1.19074047,3.126480945,2.020158163,1.834447392,2.547717655,1.483257853,3.086957931,1.181318668,2.374171548,1.903317444,0.549469986,2.697070078,2.786460056,1.768146875,1.654725762,2.102077026,2.62553783,1.428115111,1.956925528,2.568504395,1.423033138,1.72829941,1.593401274,1.667489941,1.98965772,1.974764971,2.242714175,1.202062061,-0.27012233,0.494472569,1.111459553,0.570744318,1.353601726,2.209101787,2.534179861,1.613745749
ACKR4,0.884381641,1.968513899,1.924674406,1.282042119,1.722465833,1.756490687,1.915063574,1.460223617,1.294394153,1.974361382,2.182665386,1.398217001,2.500722233,1.171515635,1.032417522,1.293603779,1.072918277,2.185207331,0.870383182,1.903710009,1.687850961,1.188864835,1.286325318,1.394020427,1.418266548,2.249598414,0.980478884,1.914193511,1.509061726,0.815705951,1.89664,1.524986827,1.826834911,1.875470358,0.795399302,1.6785178
ACLY,3.10684119,2.769632979,2.924480192,2.832854098,2.93812133,3.038158701,2.829559324,2.735538986,2.91610672,2.901512715,3.181899916,2.954426694,2.824420177,2.96771923,3.146603768,2.941560321,2.92603217,2.863959477,3.159073714,3.091936911,3.217051972,2.888082936,3.004935642,2.836484974,3.150629843,3.181367096,3.208131909,3.096463338,2.996075756,3.128853863,3.134265585,3.287602372,2.925802162,2.843601672,2.935802583,2.895208222
ACSL3,2.39452931,2.255075982,2.215554577,2.079055496,2.393936315,2.373790645,2.327832258,2.395038674,2.108041115,2.384875537,2.368480062,2.305462948,2.652690949,2.290820716,2.066936598,2.121976017,1.825427678,2.418809072,1.975674964,2.248116767,2.092941413,2.205420665,2.308672736,2.212626361,2.406933586,2.461661755,2.137468329,2.354585604,2.078738608,2.206881731,2.266391882,2.381697711,2.101291804,2.457949162,2.045819305,1.95533936
ACSL4,2.748144962,2.615443562,2.981840343,2.773826005,2.939055967,2.809511764,2.790611169,2.720926441,3.265715888,2.582172265,2.714545795,2.724710415,2.555265575,2.715275287,2.648463159,2.642503753,2.511555543,2.585753175,2.580022728,2.738316588,2.873785971,2.57645803,2.732322133,2.497569537,3.021435535,2.806712739,3.55600261,3.157268598,2.799387198,2.667103296,3.199533657,2.764750733,2.810113902,2.621652403,3.016857011,2.779593739
ACSL5,2.294585892,1.984962067,2.228607235,2.500516925,2.413158384,2.505933615,2.377964664,2.183899494,2.493866023,2.145472481,2.338249663,2.720754344,2.211686262,2.300749037,2.361167683,2.17413392,2.138273878,1.861404796,1.891572481,0.683281684,2.324342822,1.894728547,2.228217389,2.169822865,2.165748979,2.37143201,2.769610713,2.275639429,2.044947923,2.270377613,2.216433461,2.328103308,1.735936661,2.210831185,2.436873413,2.407799718
ACTA2,NaN,1.486294772,1.282643316,0.062370289,0.736334179,1.212422643,1.57856126,0.604401712,0.953400857,-0.324054998,0.361479503,0.501757593,1.762110027,0.555754366,NaN,0.715968387,1.017400949,1.012446335,0.057469825,-1.006914396,1.216696555,0.66183013,0.688305304,0.366459946,0.729056381,1.17622871,0.16953512,-0.066783251,-0.036039124,0.389737219,0.762303489,-0.042039539,0.867089954,0.268715246,0.017248052,0.85634972
ACTR1B,2.66671268,2.739061852,2.272011693,2.320248769,2.383717149,2.2198137,2.458609943,2.301849019,2.452624056,2.431514982,2.625312754,2.423365257,2.632966055,2.990282328,2.930044613,2.689745464,2.831648545,2.642110727,2.774862913,3.10829658,2.488986119,2.454625751,2.163007085,2.12937123,2.381195237,2.512921668,2.483526336,2.549467142,2.605269698,2.698463278,2.723576233,2.940276931,2.297397683,2.844053722,2.845779059,2.397179534
ACTR2,3.495015521,3.380221237,3.677701194,3.762612359,3.435750657,3.56258384,3.504816112,3.51795067,3.6430413,3.514088578,3.763160005,3.445716523,3.208764476,3.444897984,3.321519779,3.526305936,3.306989902,3.479236749,3.42273936,3.159189949,3.735994795,3.620871522,3.387323561,3.727347029,3.408652498,3.514171578,3.808382471,3.490431687,3.546696382,3.839724906,3.645450137,2.839915432,3.516153354,3.533327777,3.468512407,3.544609322
ACTR3B,2.246109477,1.220481784,1.231490794,1.592783452,1.553993971,1.310627126,1.528232982,1.690761543,1.392257612,1.45698194,1.889216783,1.646001485,1.592693019,1.63400664,1.774213527,1.742297326,1.539489349,1.311208469,1.795192419,0.470206858,1.794604725,1.600003328,1.129097813,1.260087805,1.872302559,1.907040699,1.747297172,1.46832995,1.870206104,1.55517041,1.637364753,1.437967404,1.819747446,1.57350539,1.337394338,1.507627734
ACVR1B,2.360070761,2.043188552,1.728379761,1.645001729,1.700122007,2.106920561,1.895149737,1.875662322,1.042922936,1.970851912,1.843399641,2.079806092,1.922991821,2.020450224,1.891937904,2.242428823,2.535076598,2.268973665,2.097214332,1.830042341,2.262225409,1.930803912,2.113065984,1.814686353,2.351922527,2.159940758,1.810659135,1.928224803,2.131278211,1.716321319,2.075379405,2.3994985,2.075637034,2.172512745,1.081706041,1.813477918
ACVR1C,1.16622832,1.447967985,1.859127699,0.527257087,1.912425438,1.516681609,1.91990256,1.148469756,1.016593998,0.278004993,1.615745532,0.363454895,2.046157925,1.309082033,1.236537504,1.36767031,1.421612467,2.177851426,0.741716573,1.788965621,1.339726302,0.784675877,1.560137598,1.421257846,1.151998659,1.924511883,0.38624423,1.947257006,0.930102609,0.649374529,1.962589558,1.22513219,1.672824727,1.493574714,0.630031909,1.816344559
ACVR2A,0.845128342,1.387011559,1.465307807,1.793421561,1.475567364,1.476252952,1.494334653,1.476557985,0.805174776,1.309413457,1.295135482,1.153505369,2.111006208,0.598158215,1.558051203,1.532002436,1.621430533,1.05955888,1.768573743,2.23884496,1.07712213,1.532414091,1.188907655,0.853451954,1.860579999,1.19192781,1.390872635,NaN,-0.27012233,1.16125789,0.96896074,1.514262962,1.659251919,1.604216752,1.636341383,1.257750261
ADAM17,2.397171413,2.452724255,2.248094047,2.326991376,2.309205781,2.212422643,2.125073921,2.755694933,2.32324237,2.521415135,2.357662704,2.571627422,2.015456611,2.331859248,2.216075533,2.46524563,2.218549692,2.51461731,2.414132945,2.280215224,2.441279592,2.538225632,2.462281262,2.355848383,2.689597624,2.380182136,2.634917972,2.415273221,2.522769411,2.547916889,2.089342972,2.102534669,2.449116041,2.648769106,2.129182328,2.599702672
ADAM23,1.069318307,1.970846731,1.973013149,1.132408156,2.447055822,1.7187863,2.065256528,1.436910625,1.432262773,1.487520008,1.78880329,0.782584203,2.5629325,1.49360646,1.175716267,1.504180963,1.146269979,2.14042802,1.605654436,1.786177204,1.378152125,0.928098019,1.549197612,1.526275971,1.462045473,2.310198408,0.960275498,1.873448544,1.400653474,1.187193624,1.928326354,1.877038554,1.928097232,1.858810445,1.445382846,1.951867763
ADAMTS1,1.047778629,1.61004853,1.551270226,0.527257087,1.518601996,1.605145838,1.864139087,0.718345064,1.12774445,0.439372995,1.541174887,0.213692575,2.232561283,1.270041129,0.999625008,1.394088252,0.708402024,1.863322214,0.741716573,1.711587293,1.275956516,0.900069295,1.337928587,1.324017696,0.974386227,1.910001809,0.401484197,1.508074457,0.316143394,0.656553114,1.830025113,0.935684066,1.227888155,1.511213463,0.4322214,1.688858633
